挖,我
利,你
怡,他（她）
鸟啊,猫
告啊,狗
鸟器,老鼠
汶,我们
吝,你们
银,他们（她们）
安内,这样
搭楼,哪里
家,这
电西,电视
喀歇某哇共,实在没话讲
某,没有
戴季,事情
抠咯,可乐
启迪,养猪
低讨,猪头
摸醒,疯子
懒书共,乱讲
兜啊,桌子
兜定,桌上
触定,屋顶
虾米,什么
弯来,原来
抠怜,可怜
抠秀,可惜
旗啊,女朋友
条鬼,超过
卡拉掐,自行车
安,老公
派系,意思/对不起
挖里九扣,我在上课
漏扣啊,下课了
拱哇,说话
赛,屎
丢,对/要
腰丢九扣,还要上课
修帕,打架
抓,纸
寄包,钱包
系,四
西,是
辣,六
切,七
贝,八
告,九
杂,十
靠,哭
麦安内,不要这样
麦系,不好意思/不好看
厚载,好看
迷路,美女
虾仙,很累
糗,笑
劳定,楼上
劳喀,楼下
醉,水
麦,不要
狸葱虾,在干什么
诶赛,可以
频够,苹果
电哇,电话
造,跑
秋,手
楼熟,老师
公高掐,公交车
嘎,教
哈行啊,学生
挖矮利,我爱你
厚家,好吃
西兰,死人
咯,路
秋载,手指/戒指
揍戴季,做事情
爱困啊,想睡了
漏后,下雨
替钉,铁钉
庵埋,稀饭
利未西啊,你要死啊
主来醉,自来水
某半话,没办法
虾瓜,很冷
挖兄利,我想你
利底大,你在哪
回掐,火车
半赛,拉屎
宾又,朋友
电叮,电灯
埋呀,妹妹
修意素,小意思
虾嘎秋虾仙,写得手很酸
西干,时间
逼就,啤酒
帕同关,打通关
昏,烟
利摸醒,你发疯
青菜,随便
搜洗,钥匙 
