鱼翅当粉丝,形容人极其富有
粉丝当鱼翅,以劣货充好货
煲冇米粥,一些只留于空谈的协商。
扮猪食老虎,表面装傻，其实野心勃勃
屈人食死猫,现指将某事某物强加于人
口水多过茶,比喻说话太多，话痨
死鸡撑饭盖,不知错或明知错了仍死顶、硬撑
怕咗你先怕米贵,被某人长时间缠绕后，对其表示无奈和厌烦
生骨大头菜,被宠坏了的孩子
呃鬼食豆腐,别人主要的 财物和利益都侵占去了，或要价过高让人承担不了
食碗面，反碗底,比喻做这种事的人忘恩负义、恩将仇报，忘记他人的给饭之恩
熟口熟面,指某人面熟、似曾相识或老相识
挖肉罗疮生,本来没麻烦，却自找麻烦
食谷种,没有收入，依靠积蓄为生
抵食夹大件,形容吃的东西又便宜又大块
行路唔带眼,青年人撞倒老人身上，老人责怪他不小心
唔使问阿贵,不用说都知道
牙齿当金使,说话算数，讲诚信
孻仔拉心肝,最小的儿子是心肝宝贝
手揗腳震,手揗脚震指的是手足颤抖，比喻害怕
临天光濑尿,要成功时，却出现小纰漏失败了
心静自然凉,心态平静自然会感到凉快
嗱嗱声,老板吩咐下属赶工
执人口水尾,说别人说过的话
周身唔聚财,浑身不自在
冇咁大个头唔好戴咁大顶帽,责怪别人不自量力
唔系人噉品,不是人，没人性
生人唔生胆,没胆量，胆小怕事
人情紧过债,欠人情比欠债还要紧张
仔大仔世界,儿孙自有儿孙福
好心着雷劈,不领情，好心反被当恶意。
你铺话法,不同意别人说的话，有时还可以用以下这种方式
批个头落嚟畀你当凳坐,坚信自己的判断
留返啖气暖下肚,不屑于与对方争吵
冇咁大个头唔好带咁大顶帽,责怪别人不自量力
大步𨂾過,意为逢凶化吉、化险为夷、顺利过关
擘大個口得個窿,张大嘴唯有一个洞，比喻哑口无言，回答不出
相嗌唔好口,劝别人停止吵架的话
话之你,表示对某事漠不关心的态度，意思是〔管你那么多〕
口爽荷包纳,用稻草将珍珠遮盖起来，比喻明珠蒙尘，有眼不识荆山玉
临急先开坑,事到临头才想到办应办的事，手足无措
揦手唔成势,形容措手不及、手忙脚乱
扮嘢,戳穿别人的假面目
话斋,上期说过否定别人的观点的方法，这次讲一下如何赞同并引用别人的观点
跑马射蚊须,意即很难成功的事
水蛇春咁长,用于形容某些事物过长
大石砸死蟹,以势压人
返归执牛屎,同“返乡下耕田”义
没见过大蛇屙屎,大蛇屙屎比喻大场面。形容未见过世面，少见多怪、见识不多
鸡同鸭讲,形容两个人讲不到一起，没有共同语言
掂过碌蔗,描述一种非常顺利的情况
臭罂出臭草,没家教
死牛一面颈,固执不肯改变，死硬派
事急马行田,危急形势下采用非常规的应对办法
捉蟲入屎窟,自己把虫塞入屁股眼里，比喻自找麻烦，弄巧成拙
马死落地行,顺应环境、形势，随遇而安
蚁多搂死象,比喻人多力量大
反转猪肚就係屎,形容翻脸无情的情况，本来相处融洽，但一反面后，其中一方或双方立即态度差劣，判若两人
边有甘大只蛤乸随街跳,意思是世界上哪有那么便宜的事
罗汉请观音，人多好担当,多人集资请一个人吃饭，不会负担太大
留返拜山先讲,若有人不停嘴的说些你不感兴趣的内容，你想叫他闭嘴
冇雷公咁远,很远的地方
六国大封相,多人混乱的吵架场面
张天师遇鬼迷,精于此道的人也会失手
七国咁乱,粤语中表达〔乱〕的意思的一种生动说法
咸丰年咁耐,年代久远
二打六,人的身份不重要，或技术不够
坐定粒六,肯定会成功
三九唔识七,互不认识，毫无相干
一天都光晒,度过危机，大快人心
一句讲晒,当说完一番话之后，可用〔一句讲晒〕引出中心论点或核心问题
一匹布咁长,说来话长
十划未有一撇,比喻事情才刚刚开始，毫无眉目
贴钱买难受,花钱或花精力买罪受）
返乡下耕田,对蠢笨、办事不牢的人的讽语
放飞机,说好了去做，又不去做而令人受欺骗的行为
画公仔唔使画出肠,指对某些事情不必说得太白
各花入各眼,萝卜青菜，各有所爱
有风驶尽艃,在得势的时候仗势凌人
甩底,因某人的变故而破坏定好的计划或约定的事情，则可形容该人〔甩底）
得个吉,〔得个吉〕就是〔一场空〕的意思，形容希望落空
摆上台,若不满被人推出来当出头鸟，可以这样表达
买棺材唔知埞,形容别人的行为将会引起很大危险，而他本人却意识不到，可以用这句俗语
离天隔丈远,千里迢迢
执笠,早一段时间，时时都听到有企业倒闭的消息，“倒闭”，粤语叫“执笠”
车大奅,〔说大话〕在粤语中有一个特别的俗语，气势上比〔吹牛〕更厉害
攞景定赠庆,当责怪别人在某些场合做出一些事使人难堪，就会用到“攞景定赠庆”
打爛沙盆璺到㞘,指人好寻根问底，将事情问得清清楚楚
躝屍趌路,粗鲁无礼地命令他人滚开
跌倒揦秅沙,形容人死都不愿认错，甚至明知自己做错了，都要用诸多理由去为自己开脱
跴亲条尾,指的是触怒了他人（的生气点）
烂泥扶唔上壁,相当于是朽木不可雕也
恶死能登,很凶恶地死命怒目而视，即凶神恶煞
