牙西烂灿,笑得露齿，很灿烂
洗身,不认同，与普通话“一边去吧”同义
食朝、食久、食夜,吃早饭、吃午饭、吃晚饭
做酒、食酒,泛指摆喜酒，喝喜酒
唔搭宜,不理你，不睬你的意思
让边？让边办？,怎么样？怎么办？
唔知,不知道
耐D？,哪里？
俺样咩？,这样吗？
矛变,没办法，只能这样
麦怪？,什么？
打赤膊、打赤脚,没穿上衣光着臂膀、没穿鞋子
弃奈D料？,去哪里玩？
好矛瘾,很不爽
做买树,有什么事？
谷唔春车,想不明白
博太冷,贬语，程度较轻的责备话
学咀学雪,总模仿别人说话，略带贬义
博渴涝,贬义词，指口渴得有点过
娘娘尊,因为害怕或劳累过度而抖，发抖
牙射射,嘴巴过度张大露出了牙齿，贬义　
九5搭八,指莫名其妙，下文不接上语
买兜来食,指不认同、好去好去
罗食仔,小乞丐，沿街讨吃的小孩
咯烁猫,形容人不讲卫生，很脏
乌猫公,指男生不讲卫生（这个和上面那个词都是小时候外公教我喊经常欺负我的二哥的，呵呵，数十年后再讲起这个词，感觉仍然如此亲切）
翻新屋,新居（晋工）入伙，农村人生命中头等大事
啃死喵,背黑锅， 不一定有做过的事情却要承担相应责任
阴城,放置先人骨灰的地方，一般筑在效外或山上
和谭,院子，一般指比较大的院子
盏盏，盏过罗别板,很好、很不错的意思，带着兴奋语气。盏：妙
角落头,隐蔽、不易寻着的角落
花里笔绿,有红有绿、很花肖
暗麽西唆、暗麽麽,很阴暗、没有光亮
架势,了不起、很威风，带贬义
帅目、帅觉,睡觉（嘿嘿，偶的最爱）
屙壳,语气助词，相当于唉呀
屙尿，屙屎,小便、大便
壁蛇仔,小壁虎 （儿时总是被它们吓着，家人一直强调说它是吃蚊子的益虫，我却一直坚持它是咬人的蛇，呵）
细佬哥、焦仔,年轻小伙子、小孩子
黄“檫”,蟑螂（嗯，也是一种较常见的昆虫，无论是乡下或城镇）
朵哥蛇,头扁扁，剧毒带攻击性的一种蛇类（据说是眼镜蛇？）　　
竹浪江,一种体形较大的蛇，学名不晓得
泛S头,也是蛇，和“朵哥蛇”一样凶
草花蛇,据说无毒、无攻击性，喜生活于花竹间或水草里　　48、滑哥——塘虱，现在一般指野生的塘虱
负鱼子,在小渔塘或小水溪筑个土堤，把水用勺或手掏走直到现出鱼（呵呵，这种活儿相信很多男性都很熟悉，儿时大多都有这样玩过。有些朋友也许至今还偶尔会到乡村寻找这事儿忙活一把找乐趣吧）
照下、知背,厨房、里面
掌牛,放牛，监看牛儿吃草散行（二哥有掌过牛，他至今还记得偶六岁那年为了体验坐在牛背上的感觉而差点丧生于牛蹄下的惊险事儿。）
矛时停,没有停得下来的时候
料天光,玩到天亮
持家人,自己人、值得信任的人
转屋卡,回家
年朝五节,指新年，端午节
笨箕撬,骂人很坏、很没教养
狗屎拨,也是骂人的话，额。。。意思请按字面理解
鬼打倒宜,被鬼打到 （坏了、傻了），责怪别人的一种语气词
博麻风,指很脏或很不正常，贬义（麻风，以前一种不治之病）
担杆、刀麻,扁担、（菜）刀
前世矛修,老妇人觉得委屈词倔时常爱说的一个词语，指上辈子积福不够。
阴公,凄惨、凄凉
暗谷,自己心里发愁
舌本仙里,亏本的生意
乌里刀烧、乌里关刀,形容人或物黑漆漆很脏
岭光,山岭、山坡
4田,插禾苗、插秧
隔离阿婆饭过香,隔壁奶奶的饭比较香
阿咪、阿奶、阿娘,妈妈、妈妈、伯娘
丕倒,捡到便宜，不劳而获得　
打斋,做法事
搓冷石,指空等一场
歌魔绝代,骂人的话，意指绝后、无子孙，比较狠毒
歌魔铲,同为骂人口语，不过相对没上面句毒
心大心细、七上八落,心中犹豫不决、很不安定
唔晓亭通,不醒目，不会动
郑郑,刚刚
死牛一片颈,只认定已认定的、指固执
死鸡撑烂颈,把已死的鸡颈撑烂，指无理却仍倔强争论
灶头恶，灶背弱,只敢在家人或熟悉人面前凶，出外却懦弱被欺
天吖公开眼,老天爷有灵了，指实现了某些意愿
矛眼睇,没有眼睛看，指不堪入目
矛心装,说过就忘了，没心思听记
打豆4,嗟一顿，弄餐吃的
兜凳、兜作,搬椅子、搬桌子
妹惹涯,别惹我
妹猪、耐猪,女儿、儿子的口语（“猪”在客家话中很常用，多作语音后缀。)
姐公、姐婆、娶心Q,外公、外婆、娶媳妇
掺布日、明朝日,昨天、明天
打称命,在颤抖、痉蛮
笨江,厕所，一般指以前的旧式粪坑
天猜下,指怪得出奇，通常指人
孤寒鬼,形容人小气、吝啬
割心仔,菜心
练瓜、金瓜,木瓜、南瓜（两种瓜都很好吃！）
地豆、薯姑,花生
耐果、拨仔,荔枝、石榴　
今那、那人,现在或当下、谁
些几,打他， “先入为主，后居为客”！客家人的足迹，遍及天下；客家话，也成了被普天之下大部份人民惯常使用的语言。
