title,content
繁殖恋,"最单纯的，只以繁殖后代为目的的恋爱。[划掉:现代各种][链接,划掉:浮夸][链接,划掉:三观][划掉:中的一股][链接,划掉:清流][划掉:？]"
溜粉,"指通过放假消息或是过度宣传，欺骗粉丝，骗取热度。比如某电视剧开拍前，宣布某明星要参演，通过这种方式获取该明星粉丝的关注。而实际演员表出来后，该明星可能只是个[链接:打酱油]的角色，或者根本没什么戏份，让粉丝白高兴一场。这种溜着粉丝玩的行为，就叫溜粉。

举个例子，电影《长城》宣传的时候全是知名小鲜肉，可当电影上映后，粉丝才发现小鲜肉们戏份很少，而当初宣传时的力度却很大。这就是溜粉。"
奶茶肚,"指因为过于沉迷糖分超标的奶茶饮料，腹部赘肉逐渐增多。
在现代社会可能比啤酒肚更加常见[划掉:毕竟奶茶比啤酒好喝多了不是吗]

奶茶店里售卖的奶茶大多数都会大量添加糖精以保证口味，使人不知不觉就摄入了超量的糖分，而且还想喝个第二杯第三杯。
但！就算胖出一个两个三个游泳圈也还是要喝奶茶哒。"
拼爹,比拼出身。在日渐阶级固化的社会环境中，许多竞争中的比拼已经不再是能力的比拼，而是社会资源的比拼。作为最大直接社会资源来源的家人，自然成为了比拼的焦点。故有拼爹一说。
五毛特效,粗制滥造，看起来成本只需要五毛钱的特效。用来形容视频中的动画效果很垃圾，很容易让人出戏。
哭唧唧,"原本是[链接:东北话]，指哭哭啼啼，哼哼唧唧的样子。
但现在在网络上已经成为了[链接:软妹]卖萌撒娇用语中的重要组成部分，和嘤嘤嘤类似。"
萌二,用各种不合时宜的中二来无脑吹捧二次元，还觉得自己特别萌的人。二次元爱好者中最接近智障的一派。
隐形吃货,看起来身材苗条，但是能一个人吃掉[加粗:4]人套餐的神奇物种。
仙女式哭泣,指毫不狼狈狰狞，比笑还美的哭泣方式。源于1999年出生的日本女星[链接:永野芽郁]在某次活动中，因为收到自己的粉丝来信，而感动哭泣的画面。
柠檬精,"柠檬精，与[加粗:复读机、鸽子精，真香怪]共称为人类的四大本质。一种自嘲式表达对他人从外貌到内在、物质生活到情感生活的多重羡慕。
另：嫉妒对象所拥有的属性有一部分都得靠自身下辈子投胎投好才能获得的技能。
常见特征与日常用语：柠檬精的觉察力很高，自制力也很高，明明知道嫉妒不好，不想嫉妒别人；但是看到了别人好的一方面，自己又很难忍住冒出嫉妒的感觉，甚至隐隐地安慰自己——对方这么光鲜，肯定也有不如意的地方。不甘心、不服气却又深深地自责，于是这些感情化为一句自嘲式的句子：
我🍋了。
温馨提示：[加粗:注意区分酸民与柠檬精]"
妈问跪,"”妈妈问我为什么跪着看XX“的缩写，是常见的评论内容，夸张地表示被评论的对象异乎寻常地厉害，以至于看到的人即使隔着个屏幕也要跪下来表示自己的佩服和崇拜。
例如在某些大佬炫技视频中经常有人刷”妈问跪“的弹幕=妈妈问我为什么跪着看这视频=这视频也太厉害了我给作者跪了"
猛汉王,游戏[加粗:怪物猎人：世界]的昵称。源于其英文名[加粗:Monster Hunter：World]的缩写[加粗:MHW]。
PAD长,"东方系列的角色十六夜咲夜的昵称

因其在东方系列不同作品中立绘的胸部大小有差异，便有人戏称她垫了PAD（指胸垫）而她又是一位女仆长，于是得名PAD长
也有一说是Perfect And Dainty（完美而潇洒）的缩写

是同人作品中流行的二次设定"
英年早婚,"形容词，意为“年纪轻轻的，怎么就想不开去结婚了呢”。语带惋惜遗憾情绪。
从“英年早逝”演化而来。
尤其地常用于已婚的[链接:偶像]和[链接:明星]。[划掉:毕竟在][链接,划掉:苏粉][划掉:看来已婚是一个极强的减分项]"
