word,definition
雄起,加油
幺儿呢,表示惊讶
晒,语气助词
格是嘛？,是不是
格好,好不好
格吃了,吃了没有
哈哈儿呢,一会儿
日错,挑衅
空了吹,少在这儿瞎说。不要再吹牛了，没人信你
 豁别个,骗别人
冲壳子,吹牛
对头,是的
晓得,知道， 有不耐烦的意思
摁是,确实是
莫棱个,不要这样
铲铲,不相信的意思
蛮施,特别、很，加重语气
不消,不需要，不消说，不需要说，要不要我开车去接你，不消。
晓得,知道
恼火,困难
伤心,"语气助词。“哈的伤心”：非常傻
"
龟儿,"语气词，带有埋怨的意思。如“他龟儿不吃饭”意思是他不吃饭。
"
提劲,"1. 来劲，振奋人心：姑姑，太提劲了 ;2. 同""扯皮"",即""找茬""之意. "
梭边边,第一个边拖长音。梭：溜走；边边：边缘。如：“你把事情搞糟了，想梭边边嗖！
扑爬,摔筋斗，在地上爬滚。zuai一扑爬：摔了一跤
冒皮皮,"吹牛。有道是“冒皮皮，打飞机”。也有""找茬""之意"
喝(huo)皮,占便宜
zua(二声)幺四,打川牌
过捏,小孩打架、吵架
zua瞌睡,打瞌睡
 zuai呀 平声,就是摔跤了的意思
进笼笼,关进监狱
涮坛子,说大话，吹牛皮或
抓zhua三声,"啄。“被公鸡zhua了一下”：被公鸡啄了一下
"
洗白了、洗bo儿,完了
改手,上厕所
直见滴（dia）,指液状物一直不停的滴
接倒,接着
人户（一般读fu）,去亲戚朋友家串门
告哈,试一下
扯仆汉,打呼噜
打拼花,沟女
打平伙,AA制聚餐
打牙祭,"吃了一顿大餐
"
逞下去,压下去
马起脸,板脸
拱过来,挤过来
 扯把子、日白、上坛子,说谎
逗硬,动真格的
看稀奇、看古怪,看热闹
吃嘎嘎,吃肉的意思
卡卡各各,角落
索索板儿、索索滩儿,滑梯
要台,临时加餐，不是正餐。如“打要台”，“要台”不等于“宵夜”，要台上午吃，宵夜是晚上吃的
哄人,骗人的意思
哦屎（o屎）,拉屎
杀个了,完了。如“锅里的饭杀个了”，就是锅里的饭完了
打摆子,症状是全身发抖，很怕冷，喜欢盖很多被子
打梦脚,走神
卖麻批,指女性卖淫。麻批指女性的性器官
打谷子,收割稻谷，谷子：稻谷
走秧歌,指结婚时担当女方亲戚到男方家做客
 跑江湖、超社会,出去混的
爬批开,滚远点
整,用途广泛的动词。例子：“整了顿方便面”，吃了顿方便面
咂,西南方言，１、吸吮；２、小口地喝酒、喝水。西南少数民族用麦管或细竹管从酒坛里吸酒也叫咂酒。
安,淹。“安死了”：淹死了
呡（min三声）,嘴唇少少地沾一点儿，如“呡一口酒”
腾（ten平声）,抖。“ten了一下”：抖了一下
记、切,"去。例如：“我们一起切。”，绵阳念""切""，自贡和内江念“记”，重庆市则QIE,QI混用，大部分四川人念“气”，少部分念“刻”
"
拗(niu),手脚不停地动
笔,一般指从容器中倒出液体。“笔花椒油”
秋,熏。“秋腊肉”
照,调皮。“照皮子”
脚杆,腿脚
手杆,手臂
离二杆,人的小腿
脑（音同老）壳,脑袋
倒拐子、手拐子,手肘
脚(jo)板心、手板心,脚心、手心
锤子、鸡er,都是指男人的性器官，常用作语气词语
批、麻批,都是指女人的性器官，常用作语气词语
体卡啦,大腿内侧
夹二孔,腋窝
克系娃,膝盖
肚记眼,肚脐
作(zuo平声)登儿,屁股，现多指猪肉臀部
茅斯,茅草盖的厕所
蒲嘘儿,水果名称，即荸荠，马蹄
蒲嘘儿,水果名称，即荸荠，马蹄
稀客,"就是很少来的客人
"
拜子,就是瘸子的意思。如“周拜子”，就是姓周的瘸子。但摆子的程度没有瘸子严重，摆子只是走路一拐一拐的
桑泡儿,桑葚。桑树上的一种果实
摇裤儿,内裤，指短的内裤
包谷,玉米。“搬包谷”指收割玉米
钱纸/纸钱,冥币。烧钱纸意思是给阴间去世的人烧钱
秧歌队,指结婚女方的亲戚队伍
袍哥,一种江湖组织
