欧巴桑,阿姨、大婶
欧吉桑,叔叔、伯伯 （这2个大家都了）
冻未条,让人受不了，鸡皮疙瘩
阿沙力,做事海派、直爽
土豆,花生
奥客,讨厌难搞的客人
拉低赛(喇猪屎),闲聊打屁
,
小强,蟑螂
草莓族,"7年级生(民国70年代出生)
"
靠北,多嘴；没事不要乱说
靠腰,跟上面的相近
LP,闽南语 大概小鸡鸡的意思
起喜,去死
挫屎,就是普通话的｛糟啦｝
鸡婆,罗唆 {很烦的那种}
机车,"古板""哈拉"
麻吉,好朋友
龟毛,无聊
gin,"矜持、硬撑
"
马子,"女朋友 ""机车"""
凸槌,出错
油条,很骚，自以为是
达人,高手、专家
茶包,麻’烦
碎碎念,嘀嘀咕咕 很多话说
哇塞， 哇靠,有点意外的助语词 ，又有像不是吧这一种
条子,警察
劈腿,一脚踏两船
酷斯拉,酷死啦
欧巴桑,"多口阿婆, 师奶"
,
臭三八,讨厌的女人
太妹,不良少女
太保,不良少男
卡哇依,可爱
给你秀秀,安慰的意思 亦又第2种就是惜惜都是安慰的意思
炒饭,上床
安安,打招呼
台客,粗犷的男人
kuso,无厘头
,
罩子放亮,小心一点
打屁,"是类似是去餐厅坐一下,消磨时间的意思~ 打""等""(广东话)"
安啦,放心啦的意思~同我定wo(广东话)
太扯,就类似是太夸张的意思 太扯了吧这样子
猴食薄荷,初学吸烟
鼻流鼻滴,无法收拾
臭头鸡仔,讨厌于人
叫秀才挑担,不能称职
记牛肉账,涂写不清
狗咬猫鼠,多管闲事
输人勿输阵,决不示弱
无某无猴,无可牵挂
杀鸡教猴,借事示威
猴头鼠目,面目丑陋
噪三代,骂人太甚
辞头路,辞职
雷公性,性情暴躁
淡薄久,一会儿
唔看破,想不开
唔见笑,不知耻
斗闹热,凑热闹
限死死,限制很死
看人无,瞧不起人
放水灯,三三两两
拦嘴舌,磨嘴皮
泛泛代,马虎从事
青冥牛,文盲
乱侣吵,胡闹
泛泛过,马虎过活
行短路,自杀
名声,臭名声
有两步,有两下子
有淡薄,有点儿
出门人,游子
正手平,右边
古早人,古人
古早物,古董
古早时,古代
古早册,古书
夭寿鬼,骂人短命
双头好,两全其美
凶戒戒,凶恶
见公母,决雌雄
无半撇,没本事
无头神,健忘
大细心,偏心、偏袒
大细目,不公正
代志,什么事
三只手,扒手
装狗熊,假装不知
 一样代,同样的事
风头狗,慌狂之态
半头青,愚笨之人
坎大猪,傻瓜的人
请甲辞,拒绝之意
必开,裂开
拍嘴鼓,谈论笑话
瓦秧裁,我不知
冥代,什么事情
厚茶,浓茶
鲈鳗,流氓之徒
扣鳖,哭父、骂人
目屎,眼泪
